OBJECTID,link_name,len_mile,ifc,ifc_desc,post_speed,iway,vmt,volumes,lanes,median,SHAPE_Length
4235,BROADWAY,0.037387,3,Major Arterial,35,2,624.569711,16.70553163,4,Raised of Fixed Median,197.4524191
4236,BROADWAY,0.105379,3,Major Arterial,35,2,1760.412218,16.70553163,4,Raised of Fixed Median,556.4028812
4237,BROADWAY,0.137347,3,Major Arterial,35,2,1826.194186,13.29620731,4,Raised of Fixed Median,725.142416
4238,02ND,0.107448,7,Local (non-circulation element) Road,25,2,42.3200682,0.39386557,2,No Median,567.3277216
4239,01ST,0.100618,7,Local (non-circulation element) Road,25,2,322.8540108,3.20871028,2,No Median,531.2649747
4240,ANITA,0.12659,7,Local (non-circulation element) Road,35,2,181.9506244,1.43732226,2,No Median,668.3961621
4241,ANITA,0.131942,7,Local (non-circulation element) Road,35,2,194.5116622,1.47422096,2,No Median,696.6529256
4242,ORANGE,0.163636,3,Major Arterial,40,2,3430.045959,20.96143855,4,Raised of Fixed Median,863.9987477
4243,CHASE,0.157482,3,Major Arterial,40,2,3139.914748,19.93824531,4,No Median,831.5053893
4244,CHASE,0.106822,3,Major Arterial,40,2,2286.095668,21.4009817,4,Raised of Fixed Median,564.0223469
4245,CHASE,0.11743,3,Major Arterial,40,2,2238.681833,19.0639686,4,Raised of Fixed Median,620.029549
4246,REGENTS,0.12068,3,Major Arterial,35,2,1271.248059,10.53404092,4,Continuous LT Center Lane,637.1885889
4247,REGENTS,0.176486,3,Major Arterial,40,2,513.0130112,2.90681987,4,Raised of Fixed Median,931.826881
4248,REMINGTON,0.186738,5,Local Collector,25,2,581.7001404,3.11506035,2,No Median,985.9777261
4249,RENETTE,0.121213,5,Local Collector,25,2,297.9387543,2.4579769,2,No Median,640.0040702
4250,LYONS VALLEY,0.175722,4,Collector,40,2,784.3484091,4.46357547,2,No Median,927.839443
4251,LYONS VALLEY,0.181966,4,Collector,40,2,815.864889,4.48361171,2,No Median,960.7701372
4252,MOTHER GRUNDY TRUCK,0.163949,5,Local Collector,30,2,0,0,2,No Median,865.6611087
4253,LYONS VALLEY,0.263195,5,Local Collector,30,2,352.9100159,1.340869,2,No Median,1389.640136
4254,LAKESHORE,0.049073,7,Local (non-circulation element) Road,25,2,27.43154235,0.55899461,2,Raised of Fixed Median,259.1059618
4255,ASH,0.138138,5,Local Collector,40,2,530.1014535,3.8374774,2,No Median,729.3916919
4256,LAKESHORE,0.120032,7,Local (non-circulation element) Road,25,2,519.9081939,4.33141324,2,Raised of Fixed Median,633.7719207
4257,MOTHER GRUNDY TRUCK,1.425237,7,Local (non-circulation element) Road,25,2,0,0,2,No Median,7525.262722
4258,LINCOLN,0.176328,5,Local Collector,30,2,1220.378738,6.92107174,2,No Median,931.0135328
4259,LINCOLN,0.152275,5,Local Collector,30,2,874.7621926,5.7446212,2,No Median,804.0103114
4260,STANLEY,0.222024,5,Local Collector,30,2,179.4244181,0.80813073,2,No Median,1172.268659
4261,ANZA,0.201709,5,Local Collector,35,2,1111.867797,5.51223692,2,No Median,1065.023205
4262,LINCOLN,0.22595,5,Local Collector,30,2,1415.811895,6.26604069,2,No Median,1193.014998
4263,MERRITT,0.083996,5,Local Collector,25,2,307.607626,3.66216994,2,No Median,443.5000972
4264,MERRITT,0.077747,5,Local Collector,25,2,225.3048433,2.89792331,2,No Median,410.5047072
4265,MOLLISON,0.264571,4,Collector,40,2,2110.064276,7.97541785,4,Raised of Fixed Median,1396.937056
4266,MOLLISON,0.059399,4,Collector,35,2,886.307976,14.9212609,4,No Median,313.6004932
4267,MOLLISON,0.15682,4,Collector,35,2,1327.746448,8.46669078,4,No Median,828.0096462
4268,MOLLISON,0.019318,4,Collector,35,2,177.9655546,9.2124213,4,Raised of Fixed Median,101.999796
4269,MOLLISON,0.057388,4,Collector,35,2,528.6824334,9.2124213,4,Raised of Fixed Median,303.0066507
4270,MOLLISON,0.157577,4,Collector,40,2,1764.644706,11.19861849,4,No Median,832.0053857
4271,MOLLISON,0.131563,4,Collector,40,2,1728.909788,13.14130711,4,No Median,694.6259024
4272,MOLLISON,0.211254,4,Collector,40,2,2169.341785,10.2688791,4,No Median,1115.444826
4273,OLIVE VISTA,0.140437,6,Rural Collector,30,2,85.61173567,0.60960954,2,No Median,741.5057389
4274,RENETTE,0.063638,5,Local Collector,25,2,208.5692503,3.27743251,2,No Median,336.0074226
4275,MOTHER GRUNDY TRUCK,0.027535,5,Local Collector,30,2,0,0,2,No Median,145.382289
4276,RENETTE,0.136366,5,Local Collector,25,2,348.3047357,2.55419046,2,No Median,720.0109847
4277,RENETTE,0.129738,5,Local Collector,25,2,454.4571803,3.50288412,2,No Median,685.0181902
4278,CHASE,0.114639,3,Major Arterial,45,2,2070.560655,18.0615729,2,No Median,605.2952419
4279,CAMPO,0.060425,4,Collector,35,2,802.1657093,13.27539444,4,No Median,319.0457245
4280,RENETTE,0.137505,5,Local Collector,25,2,621.149642,4.51728768,2,No Median,726.0271064
4281,CAMPO,0.085229,4,Collector,40,2,940.1375428,11.03072361,2,No Median,450.0070286
4282,CAMPO,0.186281,4,Collector,40,2,2230.875819,11.97586345,2,No Median,983.5717812
4283,FUERTE,0.124343,5,Local Collector,35,2,1716.555249,13.80500108,2,No Median,656.5319173
4284,MELODY,0.098775,5,Local Collector,25,2,144.7222804,1.46517115,2,No Median,521.5343216
4285,STANLEY,0.249654,5,Local Collector,30,2,147.2625299,0.58986649,2,No Median,1318.170798
4286,03RD,0.095906,5,Local Collector,35,2,525.9793179,5.48432129,2,No Median,506.4087213
4287,NARANCA,0.259388,5,Local Collector,30,2,137.1458232,0.52872848,2,No Median,1369.57021
4288,CARLTON HILLS,0.146501,3,Major Arterial,35,2,983.431368,6.71279628,4,Raised of Fixed Median,773.5246174
4289,CARLTON HILLS,0.205839,3,Major Arterial,35,2,1201.6862,5.83799086,4,Raised of Fixed Median,1086.831487
4290,FANITA,0.194654,4,Collector,45,2,2164.011368,11.11722014,2,No Median,1027.773751
4291,FANITA,0.150747,4,Collector,50,2,1670.934291,11.08436182,2,No Median,795.9461208
4292,PINE,0.252703,3,Major Arterial,55,2,3581.629214,14.1732754,4,Raised of Fixed Median,1334.273494
4293,PINE,0.252872,6,Rural Collector,55,2,3481.156717,13.76647757,2,No Median,1335.165169
4294,JUNIPER,0.03602,5,Local Collector,35,2,353.2148635,9.80607617,2,No Median,190.184186
4295,JUNIPER,0.129884,5,Local Collector,35,2,646.0412019,4.97398603,2,No Median,685.7947426
4296,ELDORADO,0.205933,5,Local Collector,35,2,1209.120751,5.87142785,2,No Median,1087.336942
4297,MISSION,0.054802,3,Major Arterial,45,2,1033.540364,18.85953732,4,Raised of Fixed Median,289.3530747
4298,GUM TREE,0.110512,5,Local Collector,30,2,237.1572012,2.14598597,2,No Median,583.5013789
4299,CITRACADO,0.030915,4,Collector,30,2,74.56845329,2.41204766,2,No Median,163.2329535
4300,AMMUNITION,0.061295,7,Local (non-circulation element) Road,45,2,121.1108012,1.97586755,4,No Median,323.6394685
4301,CALIFORNIA,0.10022,7,Local (non-circulation element) Road,25,2,174.9456659,1.7456163,2,No Median,529.1596449
4302,LA MIRADA,0.09025,7,Local (non-circulation element) Road,25,2,1032.330302,11.43856291,2,No Median,476.5174861
4303,JUNIPER,0.072145,4,Collector,25,2,351.099046,4.8665749,2,Continuous LT Center Lane,380.9268062
4304,ELDORADO,0.139794,5,Local Collector,35,2,915.9079867,6.55184047,2,No Median,738.1117007
4305,CALIFORNIA,0.071603,7,Local (non-circulation element) Road,25,2,425.2259286,5.93866079,2,No Median,378.0659352
4306,RENETTE,0.101589,5,Local Collector,25,2,311.191396,3.06323909,2,No Median,536.3743483
4307,MISSION,0.039699,3,Major Arterial,45,2,884.4539484,22.27899817,4,Raised of Fixed Median,209.5667543
4308,CARLSBAD,0.090875,3,Major Arterial,30,2,693.0354513,7.62624981,4,No Median,479.8210232
4309,CARLSBAD,0.054264,3,Major Arterial,30,2,413.8308196,7.62624981,4,No Median,286.5134077
4310,CARLSBAD,0.092975,3,Major Arterial,30,2,1300.919683,13.99214502,4,No Median,490.9103974
4311,CARLSBAD,0.067961,3,Major Arterial,30,2,1136.201437,16.71843318,4,No Median,358.8342382
4312,CARLSBAD,0.056944,3,Major Arterial,30,2,947.7254545,16.64311349,4,No Median,300.6660551
4313,03RD,0.091213,5,Local Collector,25,2,122.1386659,1.33904888,2,No Median,481.6025489
4314,03RD,0.090063,5,Local Collector,25,2,164.8008381,1.82983954,2,No Median,475.5313098
4315,CANYON DR,0.161133,4,Collector,45,2,1397.713443,8.67428424,2,Raised of Fixed Median,850.7587181
4316,CANYON DR,0.198578,4,Collector,45,2,1722.053792,8.67192636,2,Continuous LT Center Lane,1048.499439
4317,CANYON DR,0.263705,4,Collector,45,2,2777.848998,10.53392616,2,Continuous LT Center Lane,1392.350629
4318,GREENBRIER,0.048138,5,Local Collector,25,2,188.7333518,3.92067289,2,No Median,254.1691758
4319,INDUSTRY,0.296974,5,Local Collector,30,2,1585.131706,5.33761106,2,No Median,1568.038958
4320,EASTLAKE,0.089137,3,Major Arterial,40,2,1065.524825,11.95378827,4,Raised of Fixed Median,470.6432168
4321,REO,0.082249,3,Major Arterial,25,2,424.4856837,5.16098291,2,Continuous LT Center Lane,434.274094
4322,MONROE,0.23838,7,Local (non-circulation element) Road,25,2,492.279214,2.06510284,2,No Median,1258.647362
4323,HYMETTUS,0.042665,7,Local (non-circulation element) Road,25,2,27.06441369,0.63434698,2,No Median,225.2686056
4324,REO,0.127889,4,Collector,25,2,604.8963513,4.72985442,2,Continuous LT Center Lane,675.2548563
4325,MONROE,0.03397,7,Local (non-circulation element) Road,25,2,152.501042,4.4892859,2,No Median,179.3488096
4326,09TH,0.081736,4,Collector,35,2,1438.839574,17.60349876,4,No Median,431.5669312
4327,REO,0.127243,4,Collector,25,2,569.2954663,4.47408082,2,Continuous LT Center Lane,671.8407913
4328,MISSION,0.136165,3,Major Arterial,40,2,2104.830771,15.45794272,4,Continuous LT Center Lane,718.9527293
4329,REO,0.128297,4,Collector,25,2,693.7963253,5.40773615,2,No Median,677.4073842
4330,REO,0.131278,4,Collector,25,2,717.5797645,5.46610829,2,No Median,693.1469388
4331,REO,0.119455,4,Collector,40,2,787.1172889,6.58923686,3,Raised of Fixed Median,630.7263093
4332,REO,0.04767,4,Collector,40,2,389.6088683,8.17304108,3,Raised of Fixed Median,251.7003616
4333,CRANBERRY,0.201208,5,Local Collector,25,2,0,0,2,No Median,1062.353526
4334,EAST D,0.056296,7,Local (non-circulation element) Road,25,2,117.089217,2.0798852,2,No Median,297.2384541
4335,LINCOLN,0.060521,5,Local Collector,30,2,368.7215517,6.09245637,2,No Median,319.5482858
4336,MISSION,0.026092,3,Major Arterial,40,2,504.0039868,19.31641832,4,Continuous LT Center Lane,137.7650352
4337,MISSION,0.065485,3,Major Arterial,40,2,1442.696748,22.03094981,4,Continuous LT Center Lane,345.7586235
4338,MISSION,0.048171,3,Major Arterial,40,2,1061.252883,22.03094981,4,Continuous LT Center Lane,254.3425092
4339,CENTRE CITY SB,0.143693,3,Major Arterial,55,1,1554.742338,10.81988919,2,Raised of Fixed Median,758.7223293
4340,CENTRE CITY,0.067255,3,Major Arterial,45,2,1415.067939,21.04033809,4,Raised of Fixed Median,355.1056378
4341,REQUEZA,0.064202,5,Local Collector,25,2,113.3614826,1.76570017,2,No Median,338.9759418
4342,REQUEZA,0.125014,5,Local Collector,25,2,220.7372416,1.76570017,2,No Median,660.075748
4343,REQUEZA,0.156762,5,Local Collector,25,2,355.2134231,2.26594087,2,No Median,827.7010093
4344,REQUEZA,0.094137,5,Local Collector,25,2,575.2475555,6.11074875,2,No Median,497.0437109
4345,RIBBONWOOD,0.429857,6,Rural Collector,55,2,217.318636,0.50556031,2,No Median,2269.667697
4346,RIESLING,0.256911,5,Local Collector,25,2,83.11066637,0.32349984,2,Raised of Fixed Median,1356.485368
4347,RIESLING,0.214536,5,Local Collector,25,2,147.5584439,0.68780272,2,No Median,1132.75795
4348,RIGEL,0.145595,3,Major Arterial,30,2,533.2689388,3.66268717,2,No Median,768.7407944
4349,RIGEL,0.146354,5,Local Collector,30,2,536.0489184,3.66268717,2,No Median,772.7530175
4350,JUNIPER,0.073672,4,Collector,25,2,353.543017,4.79887904,2,No Median,388.988791
4351,JUNIPER,0.07299,4,Collector,30,2,451.8473015,6.19053708,2,No Median,385.3894363
4352,DIVISION,0.136966,7,Local (non-circulation element) Road,25,2,145.3446266,1.06117304,2,No Median,723.1980055
4353,CENTRE CITY,0.049285,3,Major Arterial,55,2,1909.903808,38.7522331,4,Raised of Fixed Median,260.2483251
4354,CENTRE CITY SB,0.206088,3,Major Arterial,55,1,3694.592725,17.92725789,2,Raised of Fixed Median,1088.193247
4355,CENTRE CITY SB,0.191814,3,Major Arterial,55,1,2468.804493,12.87082535,2,Raised of Fixed Median,1012.704302
4356,CENTRE CITY SB,0.027546,3,Major Arterial,55,1,473.2405202,17.18000872,2,Raised of Fixed Median,145.4361835
4357,CENTRE CITY SB,0.146448,3,Major Arterial,55,1,1353.583027,9.24275529,2,Raised of Fixed Median,773.2467732
4358,CENTRE CITY,0.073955,3,Major Arterial,55,2,1376.8855,18.61788249,4,Raised of Fixed Median,390.4829867
4359,CENTRE CITY,0.073643,3,Major Arterial,55,2,1219.533795,16.56007761,4,Raised of Fixed Median,388.8350728
4360,DATE,0.05915,4,Collector,30,2,49.6590027,0.83954358,2,No Median,312.3358928
4361,RINCON,0.037341,5,Local Collector,35,2,68.6949429,1.83966532,2,No Median,197.1744654
4362,RIO BONITO,0.122742,4,Collector,35,2,168.371795,1.37175372,2,No Median,648.0765498
4363,EAST D,0.015302,7,Local (non-circulation element) Road,25,2,34.20841461,2.23555186,2,No Median,80.7953328
4364,RIO SAN DIEGO,0.091524,3,Major Arterial,40,2,1102.486652,12.04587488,4,Raised of Fixed Median,483.2684566
4365,COVENTRY,0.042217,7,Local (non-circulation element) Road,25,2,49.02821821,1.16133828,2,No Median,222.893619
4366,COVENTRY,0.048874,7,Local (non-circulation element) Road,25,2,56.75924715,1.16133828,2,No Median,258.054052
4367,COAST,0.126827,4,Collector,35,2,1983.454302,15.639054,4,No Median,669.6445253
4368,COAST,0.126611,4,Collector,35,2,1707.035423,13.48252066,4,No Median,668.5056423
4369,IVY,0.153181,5,Local Collector,25,2,433.0613648,2.82712193,2,No Median,808.8323414
4370,HUNSAKER,0.086594,5,Local Collector,25,2,165.0644619,1.90618821,2,No Median,457.2589967
4371,LAS FLORES,0.054831,7,Local (non-circulation element) Road,30,2,478.0039304,8.71776787,2,No Median,289.5050692
4372,MYERS,0.139691,7,Local (non-circulation element) Road,25,2,100.463255,0.71918202,2,No Median,737.5703133
4373,RIO SAN DIEGO,0.116653,3,Major Arterial,40,2,1012.274625,8.67765617,4,Raised of Fixed Median,615.9198204
4374,COAST,0.306464,4,Collector,25,2,2756.764963,8.99539575,2,No Median,1618.130627
4375,RIVER,0.306152,4,Collector,35,2,1143.518185,3.73513217,4,No Median,1616.485942
4376,BUCKMAN SPRINGS,0.061318,4,Collector,35,2,186.3911292,3.03974574,2,No Median,323.7606969
4377,BUCKMAN SPRINGS,0.244518,4,Collector,35,2,368.5072331,1.5070761,2,No Median,1291.053197
4378,01ST,0.077847,5,Local Collector,25,2,166.0338861,2.13282318,2,No Median,411.0318377
4379,POINSETTIA,0.189457,3,Major Arterial,50,2,6089.028495,32.13936933,4,Raised of Fixed Median,1000.333929
4380,PASEO DEL NORTE,0.196996,4,Collector,40,2,1960.122102,9.95006042,2,Continuous LT Center Lane,1040.166126
4381,POINSETTIA,0.083471,3,Major Arterial,35,2,3199.215795,38.32727289,5,Raised of Fixed Median,440.7290934
4382,POINSETTIA,0.103483,3,Major Arterial,35,2,2022.706985,19.54627316,5,Raised of Fixed Median,546.397042
4383,MARRON,0.102338,4,Collector,25,2,1196.445572,11.6911174,4,Raised of Fixed Median,540.3440141
4384,AIRWAY,0.037121,7,Local (non-circulation element) Road,25,2,110.7048503,2.98227015,2,No Median,196.0008536
4385,AIRWAY,0.251863,7,Local (non-circulation element) Road,25,2,688.60717,2.73405451,2,No Median,1329.836148
4386,ORANGE,0.200149,3,Major Arterial,40,2,4318.226802,21.57506059,4,Raised of Fixed Median,1056.795078
4387,ORANGE,0.188231,3,Major Arterial,40,2,4523.324176,24.03070789,4,Raised of Fixed Median,993.8534321
4388,MISSION,0.074404,3,Major Arterial,45,2,1657.64658,22.27899817,4,Raised of Fixed Median,392.8670603
4389,CENTRE CITY SB,0.076479,3,Major Arterial,45,1,492.1945269,6.43568204,2,Raised of Fixed Median,403.8549666
4390,CENTRE CITY SB,0.061144,3,Major Arterial,45,1,393.5033428,6.43568204,2,Raised of Fixed Median,322.793861
4391,CENTRE CITY SB,0.11282,3,Major Arterial,55,1,726.073648,6.43568204,2,Raised of Fixed Median,595.6653561
4392,NATIONAL,0.125379,4,Collector,30,2,1098.905572,8.76467009,2,Continuous LT Center Lane,662.0007436
4393,NATIONAL,0.125,4,Collector,30,2,1111.426224,8.89140979,2,Continuous LT Center Lane,660.0007499
4394,NATIONAL,0.124811,4,Collector,30,2,1123.906094,9.00486411,2,Continuous LT Center Lane,658.9999943
4395,45TH,0.126411,3,Major Arterial,25,2,577.8362145,4.57109124,2,No Median,667.4751531
4396,NATIONAL,0.124811,4,Collector,30,2,1059.757434,8.49089771,2,Continuous LT Center Lane,659.0007531
4397,NATIONAL,0.063827,4,Collector,30,2,457.8171371,7.17278169,2,Continuous LT Center Lane,337.0059168
4398,FREEWAY RAMP,0.157206,9,Local Ramp,35,1,824.4544374,5.24442093,2,No Median,830.0650299
4399,POINSETTIA,0.125513,3,Major Arterial,35,2,3587.708918,28.58436112,5,Raised of Fixed Median,662.7053231
4400,JAMACHA ROAD,0.082765,4,Collector,45,2,1947.18641,23.52668893,4,Continuous LT Center Lane,437.0001103
4401,PALOMAR AIRPORT,0.112054,2,Prime Arterial,55,2,5035.446302,44.93767561,6,Raised of Fixed Median,591.6527635
4402,PALOMAR AIRPORT,0.077028,2,Prime Arterial,35,2,1879.677535,24.40252291,5,Raised of Fixed Median,406.7079893
4403,RIVERSIDE,0.896482,5,Local Collector,40,2,2286.421221,2.5504374,2,No Median,4733.413365
4404,RIVIERA,0.142069,5,Local Collector,30,2,1267.506965,8.92177016,2,No Median,750.1225131
4405,MONROE,0.128322,7,Local (non-circulation element) Road,25,2,149.4418728,1.16458497,2,No Median,677.5178894
4406,BLACK MOUNTAIN,0.081447,2,Prime Arterial,35,2,1941.317729,23.83534972,4,Raised of Fixed Median,430.0419825
4407,BLACK MOUNTAIN,0.079705,2,Prime Arterial,35,2,2689.514381,33.7433584,4,Raised of Fixed Median,420.8658307
4408,BLACK MOUNTAIN,0.069797,2,Prime Arterial,35,2,2355.185186,33.7433584,4,Raised of Fixed Median,368.5028322
4409,HIGH BLUFF,0.094894,5,Local Collector,30,2,219.0797553,2.30867869,2,No Median,501.033736
4410,LA JOLLA VILLAGE,0.03339,2,Prime Arterial,40,2,1154.920439,34.58881219,6,No Median,176.3009769
4411,LA JOLLA VILLAGE,0.082342,2,Prime Arterial,45,2,2718.828867,33.0187373,6,Raised of Fixed Median,434.7458853
4412,CARLTON HILLS,0.237379,3,Major Arterial,35,2,1275.357364,5.37266297,4,Raised of Fixed Median,1253.36275
4413,CANYON DR,0.092833,4,Collector,35,2,899.2050774,9.68626542,4,No Median,490.1560423
4414,CANYON DR,0.129335,4,Collector,45,2,560.5146635,4.33382042,4,No Median,682.8790621
4415,AIRPORT,0.024888,5,Local Collector,30,2,101.8068196,4.09059866,4,No Median,131.4477632
4416,COAST,0.023645,4,Collector,25,2,143.012247,6.04830818,4,Continuous LT Center Lane,124.8200394
4417,COAST,0.07187,4,Collector,25,2,421.4635079,5.86424806,4,No Median,379.4732865
4418,COAST,0.072289,4,Collector,25,2,563.816298,7.79947569,4,No Median,381.6870075
4419,COAST,0.02339,4,Collector,25,2,370.900181,15.85721167,4,No Median,123.48001
4420,COAST,0.071451,4,Collector,25,2,494.6251196,6.92257799,4,No Median,377.259829
4421,COAST,0.068193,4,Collector,25,2,973.1369055,14.27033428,4,No Median,360.0569461
4422,COAST,0.072289,4,Collector,25,2,925.654921,12.80492082,4,No Median,381.6871941
4423,COAST,0.062467,4,Collector,35,2,758.2727926,12.13877396,4,No Median,329.825778
4424,COAST,0.065169,4,Collector,35,2,832.4428017,12.77360097,4,Raised of Fixed Median,344.0930471
4425,MISSION,0.262019,3,Major Arterial,40,2,5095.569694,19.44732899,4,Continuous LT Center Lane,1383.477908
4426,MISSION,0.031645,3,Major Arterial,40,2,682.6229455,21.57127336,4,Continuous LT Center Lane,167.0872742
4427,DRIVEWAY,0.031519,7,Local (non-circulation element) Road,20,2,35.84871586,1.13736844,2,No Median,166.4219739
4428,AUTUMN,0.097263,7,Local (non-circulation element) Road,35,2,695.9535481,7.15537818,2,No Median,513.5583452
4429,MISSION,0.129066,2,Prime Arterial,45,2,2864.240247,22.19205869,6,Raised of Fixed Median,681.4942059
4430,MISSION,0.093485,2,Prime Arterial,45,2,2078.243819,22.23077305,6,Raised of Fixed Median,493.5985937
4431,LA JOLLA VILLAGE,0.279948,2,Prime Arterial,45,2,17261.51706,61.6597263,7,Raised of Fixed Median,1478.128374
4432,LA JOLLA VILLAGE,0.242941,2,Prime Arterial,45,2,6609.667973,27.20688551,6,Raised of Fixed Median,1282.714108
4433,LA JOLLA VILLAGE,0.024339,2,Prime Arterial,40,2,662.1883864,27.20688551,6,Raised of Fixed Median,128.5241946
4434,OLD HWY 80,0.09121,3,Major Arterial,40,2,0.511273186,0.00560545,2,Raised of Fixed Median,481.5799417
4435,INNOVATIVE,0.194513,5,Local Collector,30,2,493.6237451,2.53774167,2,No Median,1027.0273
4436,ROBINSON,0.079735,5,Local Collector,30,2,326.1691445,4.09066463,2,No Median,421.0018062
4437,OLD HWY 80,0.194866,3,Major Arterial,40,2,45.91821742,0.23563996,2,No Median,1028.894893
4438,OLD HWY 80,0.181853,3,Major Arterial,35,2,218.4311359,1.20114123,2,No Median,960.1846447
4439,OLD HWY 80,0.169746,3,Major Arterial,35,2,224.8242724,1.32447464,2,No Median,896.2705439
4440,ANTHONY,0.291904,5,Local Collector,30,2,53.22581302,0.18234013,2,No Median,1541.205546
4441,OLD HWY 80,0.087826,3,Major Arterial,40,2,5.287407912,0.06020322,2,No Median,463.7441796
4442,ROBINSON,0.129924,5,Local Collector,30,2,531.4755118,4.09066463,2,No Median,685.9999403
4443,RALENE,0.109044,5,Local Collector,25,2,533.527415,4.89277186,2,No Median,575.7551384
4444,ROBINSON,0.066667,5,Local Collector,30,2,435.9309368,6.53893136,2,No Median,351.9999522
4445,ROBINSON,0.066667,5,Local Collector,30,2,483.7904985,7.25682119,2,No Median,352.0002803
4446,MOLLISON,0.125763,4,Collector,40,2,1579.889873,12.56243786,4,Raised of Fixed Median,664.0272794
4447,KEARNY MESA,0.163133,4,Collector,35,2,1707.991484,10.46993241,3,No Median,861.3181917
4448,MISSION BAY,0.616707,3,Major Arterial,35,2,2934.726963,4.75870545,2,No Median,3256.219882
4449,MISSION BAY,0.02744,3,Major Arterial,40,2,168.1735883,6.12877508,2,Raised of Fixed Median,144.900582
4450,PALM CANYON,0.494303,4,Collector,35,2,42.29936431,0.08557376,2,No Median,2609.919392
4451,PALM CANYON,1.005911,4,Collector,35,2,86.07958247,0.08557376,2,No Median,5311.209807
4452,CAMINO DEL SUR,0.131582,3,Major Arterial,40,2,22.92344457,0.17421414,4,Raised of Fixed Median,694.752473
4453,ROBINSON,0.06895,5,Local Collector,30,2,1244.411327,18.04802505,2,No Median,364.054339
4454,ROBINSON,0.106074,5,Local Collector,30,2,1707.808644,16.10016257,2,No Median,560.0725131
4455,PLYMOUTH,0.079806,7,Local (non-circulation element) Road,25,2,775.7661818,9.72064985,2,No Median,421.3342675
4456,PLYMOUTH,0.130379,7,Local (non-circulation element) Road,25,2,1054.833719,8.09051855,2,No Median,688.4275974
4457,PLYMOUTH,0.097661,7,Local (non-circulation element) Road,25,2,790.1281325,8.09051855,2,No Median,515.6280431
4458,ROBINSON,0.129546,5,Local Collector,30,2,1754.611068,13.54430911,2,Continuous LT Center Lane,684.0028683
4459,ROBINSON,0.107955,5,Local Collector,30,2,685.9725409,6.3542452,2,Continuous LT Center Lane,570.0045269
4460,MORENA,0.059094,3,Major Arterial,40,2,346.2733364,5.8597038,3,No Median,311.9895906
4461,MISSION,0.091628,3,Major Arterial,45,2,1248.836522,13.62942029,4,Continuous LT Center Lane,483.8005199
4462,ROBINSON,0.071402,5,Local Collector,30,2,278.006441,3.89353857,2,No Median,377.0025759
4463,ROOSEVELT,0.184925,7,Local (non-circulation element) Road,25,2,393.8301435,2.12967497,2,No Median,976.3771381
4464,AVIARY,0.153439,5,Local Collector,35,2,717.1263894,4.67369045,2,No Median,810.1622058
4465,AVIARY,0.064376,5,Local Collector,35,2,300.8734966,4.67369045,2,No Median,339.8605684
4466,ROOSEVELT,0.141881,7,Local (non-circulation element) Road,25,2,295.0527108,2.07957874,2,No Median,749.134307
4467,ROOSEVELT,0.051886,7,Local (non-circulation element) Road,25,2,211.8740569,4.08345328,2,No Median,273.9971118
4468,MARLESTA,0.052285,5,Local Collector,25,2,447.8323878,8.56521732,2,No Median,276.065121
4469,AVIARY,0.169319,5,Local Collector,30,2,1003.467056,5.9264882,2,No Median,893.9836696
4470,ROSE,0.093932,5,Local Collector,30,2,328.6512124,3.49882055,2,No Median,495.9384638
4471,ROSE,0.19806,5,Local Collector,30,2,692.9763991,3.49882055,2,No Median,1045.778895
4472,ROSE,0.250409,4,Collector,35,2,1004.640405,4.01199799,2,No Median,1322.159285
4473,HIDDEN VISTA,0.09312,5,Local Collector,30,2,625.4928874,6.71706279,4,No Median,491.6746294
4474,ASHWOOD,0.109336,7,Local (non-circulation element) Road,25,2,242.1295632,2.21454565,2,Raised of Fixed Median,577.2921456
4475,ROSE,0.200542,4,Collector,35,2,1571.737133,7.83744618,2,No Median,1058.8626
4476,KEYES,0.101235,4,Collector,40,2,33.58430287,0.33174597,2,No Median,534.5197068
4477,OCEANSIDE,0.148104,3,Major Arterial,40,2,2870.026145,19.37845126,4,Continuous LT Center Lane,781.9762825
4478,MESA,0.110566,5,Local Collector,30,2,310.5617286,2.8088357,2,No Median,583.7747214
4479,CHESTNUT,0.228913,7,Local (non-circulation element) Road,35,2,812.4313815,3.54908363,2,No Median,1208.659248
4480,CHESTNUT,0.112533,7,Local (non-circulation element) Road,25,2,405.8735026,3.6067065,2,No Median,594.1715187
4481,CHESTNUT,0.071861,7,Local (non-circulation element) Road,25,2,163.7659424,2.27892657,2,No Median,379.4272832
4482,OCEANSIDE,0.321925,2,Prime Arterial,55,2,8087.305545,25.12170706,6,Raised of Fixed Median,1699.759211
4483,DE LUZ,0.15961,5,Local Collector,35,2,539.0982364,3.37759687,2,No Median,842.7343162
4484,MESA,0.16674,5,Local Collector,30,2,614.6609867,3.68634393,2,No Median,880.4020273
4485,MESA,0.29336,4,Collector,45,2,2383.441348,8.12462963,4,No Median,1548.943025
4486,MESA,0.216782,4,Collector,45,2,1864.225907,8.59954197,4,No Median,1144.607535
4487,MESA,0.169293,4,Collector,45,2,1588.811945,9.38498311,4,No Median,893.9055169
4488,MESA,0.209269,4,Collector,45,2,1982.183394,9.47193992,4,Raised of Fixed Median,1104.910775
4489,MESA,0.142903,4,Collector,45,2,1003.466279,7.02200989,3,No Median,754.495668
4490,MESA,0.183632,4,Collector,45,2,1337.490559,7.28353751,4,No Median,969.591025
4491,MESA,0.110032,4,Collector,45,2,1042.216493,9.47193992,4,Raised of Fixed Median,580.9844923
